CALLE,SUPERFICIE,PRECIOUSD,BARRIO,COMUNA
"ALBERDI, JUAN BAUTISTA 4100",544,520000,PARQUE AVELLANEDA,9
"ALSINA, ADOLFO 1500",929,1100000,MONTSERRAT,1
"ANCHORENA, TOMAS M. DE, DR 300",114,165000,BALVANERA,3
"ARAOZ DE LAMADRID, G., GRAL. 300",70,78000,BOCA,4
"ARAOZ DE LAMADRID, G., GRAL. 800",260,380000,BOCA,4
ARCOS 1700,60,480000,BELGRANO,13
BAEZ 300,400,1200000,PALERMO,14
CABILDO 4900,50,155000,NUÑEZ,13
"CABRERA, JOSE A. 2900",23,195000,RECOLETA,2
CALLAO 1000,575,1200000,RECOLETA,2
"CALVO, CARLOS 300",200,1200000,SAN TELMO,1
"CALVO, CARLOS 400",93,219000,SAN TELMO,1
CERRITO 1000,65,490000,RETIRO,1
CIUDAD DE LA PAZ 3700,204,540000,SAAVEDRA,12
CORDOBA 1100,200,1800000,RETIRO,1
GURRUCHAGA 950,331,1700000,VILLA CRESPO,15
JURAMENTO 1300,657,2700000,BELGRANO,13
"JUSTO, JUAN B. 2932",371,550000,VILLA CRESPO,15
LA PAMPA 4315,180,746000,VILLA ORTUZAR,15
LA PLATA 1100,270,399999,BOEDO,5
LIBERTAD 700,522,1100000,SAN NICOLAS,1
LIBERTAD 700,200,900000,SAN NICOLAS,1
MARTINEZ ROSAS 1100,160,320000,VILLA CRESPO,15
MATHEU 760,412,380000,BALVANERA,3
MILLER 4200,78,200000,SAAVEDRA,12
OLLEROS 2400,48,315000,PALERMO,14
OLLEROS 4144,94,390000,CHACARITA,15
PARAGUAY 1400,131,250000,RETIRO,1
"PUEYRREDON, HONORIO, DR. 1100",40,149800,VILLA CRESPO,15
"PUEYRREDON, HONORIO, DR. 1100",40,138900,VILLA CRESPO,15
RAMALLO 1700,95,690000,NUÑEZ,13
REGIMIENTO DE PATRICIOS 700,105,270000,BARRACAS ESTE,4
REGIMIENTO DE PATRICIOS 900,251,400000,BARRACAS ESTE,4
REPUBLICA DE ESLOVENIA 1900,120,420000,PALERMO,14
REPUBLICA DOMINICANA 3300,86,510000,PALERMO,14
RIESTRA 5999,120,410000,VILLA LUGANO,8
RIGLOS 750,110,299200,CABALLITO,6
RIVADAVIA 1100,650,500000,MONTSERRAT,1
"SALGUERO, JERONIMO 1800",8,13000,PALERMO,14
SAN JUAN 1300,40,110000,CONSTITUCION,1
SAN JUAN 2400,95,240000,SAN CRISTOBAL,3
SAN JUAN 2800,162,390000,SAN CRISTOBAL,3
SAN JUAN 3400,150,240000,BOEDO,5
SAN JUAN 3600,35,36900,BOEDO,5
SAN MARTIN 1000,81,290000,RETIRO,1
SAN MARTIN 6100,100,285000,AGRONOMIA,15
SAN MARTIN 6500,48,140000,VILLA DEVOTO NORTE,11
SANCHEZ DE BUSTAMANTE 2100,440,900000,RECOLETA,2
SANTA FE 1600,12,47000,RECOLETA,2
SOLER 6000,150,700000,PALERMO,14
SUIPACHA 400,60,110000,SAN NICOLAS,1
TACUARI 161,79,135000,MONTSERRAT,1
URUGUAY 900,63,275000,RECOLETA,2
YERBAL 2100,114,245000,FLORES NORTE,7
YERBAL 2200,10,20000,FLORES NORTE,7
